subject,session,intr
LTP229,5,17
LTP229,6,13
LTP229,7,39
LTP229,8,45
LTP229,9,71
LTP246,5,5
LTP246,6,7
LTP246,7,9
LTP246,8,7
LTP246,9,3
LTP260,5,14
LTP260,6,38
LTP260,8,50
LTP260,9,55
LTP312,5,10
LTP312,7,7
LTP312,8,17
LTP327,5,3
LTP327,6,0
LTP327,7,3
LTP327,8,7
LTP327,9,14
LTP329,6,6
LTP329,7,8
LTP329,8,11
LTP329,9,10
LTP339,5,0
LTP339,6,0
LTP339,7,4
LTP339,8,6
LTP339,9,4
LTP347,5,29
LTP347,6,38
LTP347,7,11
LTP347,8,5
LTP347,9,5
LTP355,5,3
LTP355,6,1
LTP355,7,18
LTP355,8,29
LTP355,9,38
LTP356,5,27
LTP356,6,38
LTP356,7,31
LTP356,8,15
LTP356,9,32
LTP365,5,23
LTP365,6,20
LTP365,7,41
LTP365,8,43
LTP365,9,97
LTP372,5,0
LTP372,6,0
LTP372,7,1
LTP372,8,2
LTP372,9,2
LTP400,5,50
LTP400,6,110
LTP400,7,118
LTP400,8,118
LTP400,9,106
LTP401,5,4
LTP401,6,15
LTP401,7,10
LTP401,8,18
LTP401,9,19
LTP402,5,4
LTP402,6,15
LTP402,7,13
LTP402,8,15
LTP402,9,13
LTP404,5,20
LTP404,6,29
LTP404,7,26
LTP404,8,25
LTP404,9,12
LTP405,5,28
LTP405,6,9
LTP405,7,29
LTP405,8,14
LTP405,9,6
LTP406,5,4
LTP406,6,5
LTP406,7,6
LTP406,8,5
LTP406,9,3
LTP407,5,27
LTP407,6,32
LTP407,7,54
LTP407,8,37
LTP407,9,37
LTP408,5,26
LTP408,6,35
LTP408,7,75
LTP408,8,107
LTP408,9,115
LTP412,5,2
LTP412,6,6
LTP412,7,2
LTP412,8,6
LTP412,9,5
LTP414,5,3
LTP414,6,13
LTP414,7,30
LTP414,8,23
LTP414,9,18
LTP415,5,2
LTP415,6,10
LTP415,7,16
LTP415,8,17
LTP415,9,6
LTP416,5,4
LTP416,6,8
LTP416,7,14
LTP416,8,17
LTP416,9,19
LTP417,5,20
LTP417,6,24
LTP417,7,31
LTP417,8,27
LTP417,9,45
LTP418,5,31
LTP418,6,49
LTP418,7,57
LTP418,8,40
LTP418,9,57
LTP419,5,15
LTP419,6,7
LTP419,7,7
LTP419,8,13
LTP419,9,15
LTP420,6,36
LTP420,7,28
LTP420,8,28
LTP420,9,27
LTP421,5,28
LTP421,6,40
LTP421,7,48
LTP421,8,49
LTP421,9,57
LTP422,5,10
LTP422,6,12
LTP422,7,13
LTP422,8,15
LTP423,5,4
LTP423,6,8
LTP423,7,1
LTP423,8,16
LTP423,9,10
LTP424,5,9
LTP424,6,9
LTP424,7,18
LTP424,8,23
LTP424,9,30
LTP425,5,10
LTP425,6,22
LTP425,7,34
LTP425,8,52
LTP425,9,47
LTP427,5,12
LTP427,6,10
LTP427,7,8
LTP427,8,10
LTP427,9,5
LTP429,5,36
LTP429,6,39
LTP429,7,33
LTP429,8,30
LTP429,9,37
LTP430,5,40
LTP430,6,22
LTP430,7,31
LTP430,8,24
LTP430,9,30
LTP431,5,4
LTP431,6,7
LTP431,7,7
LTP431,8,8
LTP431,9,10
LTP433,5,61
LTP433,6,73
LTP433,7,65
LTP435,5,10
LTP435,6,32
LTP435,7,26
LTP436,5,16
LTP436,6,26
LTP436,7,24
LTP436,8,31
