subject,session,recs
LTP441,0,143
LTP441,2,187
LTP441,3,197
LTP441,4,202
LTP441,5,188
LTP441,6,212
LTP441,7,228
LTP441,8,189
LTP441,9,201
LTP442,0,189
LTP442,1,155
LTP442,2,186
LTP442,3,162
LTP442,4,198
LTP442,5,194
LTP442,6,189
LTP442,7,200
LTP442,8,161
LTP442,9,227
LTP443,0,221
LTP443,1,242
LTP443,2,217
LTP443,3,218
LTP443,4,200
LTP443,5,231
LTP443,6,219
LTP443,7,230
LTP443,8,234
LTP443,9,255
LTP444,0,193
LTP444,1,205
LTP444,2,224
LTP444,3,237
LTP444,4,209
LTP444,5,275
LTP444,6,232
LTP444,7,211
LTP444,8,240
LTP444,9,188
LTP445,0,107
LTP445,1,142
LTP445,2,117
LTP445,3,135
LTP445,4,129
LTP445,5,137
LTP445,6,126
LTP445,7,153
LTP445,9,214
LTP446,0,177
LTP446,1,211
LTP446,2,217
LTP446,3,236
LTP446,4,221
LTP446,5,245
LTP446,6,225
LTP446,7,237
LTP446,8,225
LTP446,9,229
LTP447,0,172
LTP447,1,205
LTP447,2,198
LTP447,3,214
LTP447,4,199
LTP447,5,226
LTP447,6,212
LTP447,7,199
LTP447,8,202
LTP447,9,231
