subject,session,prob,M,M_S,adj_prob
LTP441,0,0.6097322798843248,0.6233137536722246,0.7019468806408002,0.5310991529157492
LTP441,2,0.6948084301899987,0.6233137536722246,0.7019468806408002,0.6161753032214232
LTP441,3,0.6919081268568685,0.6233137536722246,0.7019468806408002,0.6132749998882929
LTP441,4,0.7108415615716854,0.6233137536722246,0.7019468806408002,0.6322084346031098
LTP441,5,0.7137828536409906,0.6233137536722246,0.7019468806408002,0.6351497266724149
LTP441,6,0.7093015170675948,0.6233137536722246,0.7019468806408002,0.6306683900990193
LTP441,7,0.715725856482655,0.6233137536722246,0.7019468806408002,0.6370927295140794
LTP441,8,0.7469608428107205,0.6233137536722246,0.7019468806408002,0.6683277158421448
LTP441,9,0.7244604572623635,0.6233137536722246,0.7019468806408002,0.645827330293788
LTP442,0,0.5798432147641797,0.6233137536722246,0.5833130567825173,0.619843911653887
LTP442,1,0.5727883242402368,0.6233137536722246,0.5833130567825173,0.6127890211299443
LTP442,2,0.6091431160108925,0.6233137536722246,0.5833130567825173,0.6491438129005997
LTP442,3,0.5703139354237658,0.6233137536722246,0.5833130567825173,0.6103146323134732
LTP442,4,0.5850807076970933,0.6233137536722246,0.5833130567825173,0.6250814045868007
LTP442,5,0.5428709662661564,0.6233137536722246,0.5833130567825173,0.5828716631558637
LTP442,6,0.5857322448155408,0.6233137536722246,0.5833130567825173,0.6257329417052482
LTP442,7,0.5606893536785222,0.6233137536722246,0.5833130567825173,0.6006900505682295
LTP442,8,0.6183506151314874,0.6233137536722246,0.5833130567825173,0.6583513120211948
LTP442,9,0.6083180897972981,0.6233137536722246,0.5833130567825173,0.6483187866870055
LTP443,0,0.6007884859457046,0.6233137536722246,0.5946769203797209,0.6294253192382084
LTP443,1,0.550496656809799,0.6233137536722246,0.5946769203797209,0.5791334901023026
LTP443,2,0.5540291600311512,0.6233137536722246,0.5946769203797209,0.5826659933236551
LTP443,3,0.5770382078949693,0.6233137536722246,0.5946769203797209,0.605675041187473
LTP443,4,0.5882939802599377,0.6233137536722246,0.5946769203797209,0.6169308135524416
LTP443,5,0.5683416929808898,0.6233137536722246,0.5946769203797209,0.5969785262733935
LTP443,6,0.571624992768224,0.6233137536722246,0.5946769203797209,0.6002618260607278
LTP443,7,0.6173047453163727,0.6233137536722246,0.5946769203797209,0.6459415786088765
LTP443,8,0.6787279497797125,0.6233137536722246,0.5946769203797209,0.7073647830722163
LTP443,9,0.6401233320104478,0.6233137536722246,0.5946769203797209,0.6687601653029516
LTP444,0,0.5229938425112105,0.6233137536722246,0.535163157723072,0.6111444384603633
LTP444,1,0.5676178979643496,0.6233137536722246,0.535163157723072,0.6557684939135022
LTP444,2,0.5479465119857302,0.6233137536722246,0.535163157723072,0.6360971079348829
LTP444,3,0.524557288562286,0.6233137536722246,0.535163157723072,0.6127078845114386
LTP444,4,0.5165388897583514,0.6233137536722246,0.535163157723072,0.604689485707504
LTP444,5,0.5615221965578787,0.6233137536722246,0.535163157723072,0.6496727925070314
LTP444,6,0.5432901299994068,0.6233137536722246,0.535163157723072,0.6314407259485595
LTP444,7,0.5245820740733327,0.6233137536722246,0.535163157723072,0.6127326700224853
LTP444,8,0.523205959503132,0.6233137536722246,0.535163157723072,0.6113565554522846
LTP444,9,0.5193767863150416,0.6233137536722246,0.535163157723072,0.6075273822641942
LTP445,0,0.6656853058668224,0.6233137536722246,0.591441455621084,0.6975576039179631
LTP445,1,0.6185076370887028,0.6233137536722246,0.591441455621084,0.6503799351398435
LTP445,2,0.6209878028376133,0.6233137536722246,0.591441455621084,0.6528601008887539
LTP445,3,0.549570291963506,0.6233137536722246,0.591441455621084,0.5814425900146466
LTP445,4,0.5433818950045336,0.6233137536722246,0.591441455621084,0.5752541930556744
LTP445,5,0.5862999568291128,0.6233137536722246,0.591441455621084,0.6181722548802534
LTP445,6,0.6033667817185763,0.6233137536722246,0.591441455621084,0.635239079769717
LTP445,7,0.567294805408829,0.6233137536722246,0.591441455621084,0.5991671034599696
LTP445,9,0.5678786238720592,0.6233137536722246,0.591441455621084,0.5997509219231999
LTP446,0,0.699565421554495,0.6233137536722246,0.647015386161717,0.6758637890650027
LTP446,1,0.592646598081534,0.6233137536722246,0.647015386161717,0.5689449655920414
LTP446,2,0.6300187710856212,0.6233137536722246,0.647015386161717,0.6063171385961289
LTP446,3,0.6603178242103348,0.6233137536722246,0.647015386161717,0.6366161917208423
LTP446,4,0.6807389778342605,0.6233137536722246,0.647015386161717,0.6570373453447681
LTP446,5,0.7002796523023858,0.6233137536722246,0.647015386161717,0.6765780198128933
LTP446,6,0.6530013108382074,0.6233137536722246,0.647015386161717,0.6292996783487149
LTP446,7,0.6115608166155818,0.6233137536722246,0.647015386161717,0.5878591841260893
LTP446,8,0.6290615184889121,0.6233137536722246,0.647015386161717,0.6053598859994197
LTP446,9,0.6129629706058377,0.6233137536722246,0.647015386161717,0.5892613381163453
LTP447,0,0.7208100606375155,0.6233137536722246,0.7143155012884045,0.6298083130213358
LTP447,1,0.656755752626487,0.6233137536722246,0.7143155012884045,0.565754005010307
LTP447,2,0.6816511326433478,0.6233137536722246,0.7143155012884045,0.590649385027168
LTP447,3,0.7262892095499651,0.6233137536722246,0.7143155012884045,0.6352874619337853
LTP447,4,0.6902106118090471,0.6233137536722246,0.7143155012884045,0.5992088641928671
LTP447,5,0.6939499288045679,0.6233137536722246,0.7143155012884045,0.602948181188388
LTP447,6,0.7211098118326623,0.6233137536722246,0.7143155012884045,0.6301080642164824
LTP447,7,0.7550086571522723,0.6233137536722246,0.7143155012884045,0.6640069095360924
LTP447,8,0.7764602206037162,0.6233137536722246,0.7143155012884045,0.6854584729875365
LTP447,9,0.7209096272244641,0.6233137536722246,0.7143155012884045,0.6299078796082843
